id,date,name_GP,surname,name,grid,target,AirTemp,Humidity,Rainfall
23782,2018,Australian Grand Prix,Vettel,Ferrari,3,1,24.08,30.92,0.05
23783,2018,Australian Grand Prix,Hamilton,Mercedes,1,2,24.08,30.92,0.05
23784,2018,Australian Grand Prix,Räikkönen,Ferrari,2,3,24.08,30.92,0.05
23785,2018,Australian Grand Prix,Ricciardo,Red Bull,8,4,24.08,30.92,0.05
23786,2018,Australian Grand Prix,Alonso,McLaren,10,5,24.08,30.92,0.05
23787,2018,Australian Grand Prix,Verstappen,Red Bull,4,6,24.08,30.92,0.05
23788,2018,Australian Grand Prix,Hülkenberg,Renault,7,7,24.08,30.92,0.05
23789,2018,Australian Grand Prix,Bottas,Mercedes,15,8,24.08,30.92,0.05
23790,2018,Australian Grand Prix,Vandoorne,McLaren,11,9,24.08,30.92,0.05
23791,2018,Australian Grand Prix,Sainz,Renault,9,10,24.08,30.92,0.05
23792,2018,Australian Grand Prix,Pérez,Force India,12,11,24.08,30.92,0.05
23793,2018,Australian Grand Prix,Ocon,Force India,14,12,24.08,30.92,0.05
23794,2018,Australian Grand Prix,Leclerc,Sauber,18,13,24.08,30.92,0.05
23795,2018,Australian Grand Prix,Stroll,Williams,13,14,24.08,30.92,0.05
23802,2018,Bahrain Grand Prix,Vettel,Ferrari,1,1,27.98,47.36,0.0
23803,2018,Bahrain Grand Prix,Bottas,Mercedes,3,2,27.98,47.36,0.0
23804,2018,Bahrain Grand Prix,Hamilton,Mercedes,9,3,27.98,47.36,0.0
23805,2018,Bahrain Grand Prix,Gasly,Toro Rosso,5,4,27.98,47.36,0.0
23806,2018,Bahrain Grand Prix,Magnussen,Haas F1 Team,6,5,27.98,47.36,0.0
23807,2018,Bahrain Grand Prix,Hülkenberg,Renault,7,6,27.98,47.36,0.0
23822,2018,Chinese Grand Prix,Ricciardo,Red Bull,6,1,19.45,24.09,0.02
23823,2018,Chinese Grand Prix,Bottas,Mercedes,3,2,19.45,24.09,0.02
23824,2018,Chinese Grand Prix,Räikkönen,Ferrari,2,3,19.45,24.09,0.02
