date,driverId,constructorId,number,grid,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapSpeed,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2018,807,4,27,7,6,8.0,56,5757432,56,5,202.553,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,4,1,14,13,7,6.0,56,5767019,56,7,201.818,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,20,6,5,1,8,4.0,56,5771666,24,9,201.311,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,832,4,55,9,9,2.0,56,5772143,54,11,200.744,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,825,210,20,11,10,1.0,56,5775974,54,14,199.930,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,839,10,31,12,11,0.0,56,5780430,47,12,200.271,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,815,10,11,8,12,0.0,56,5781105,54,10,200.911,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,838,1,2,14,13,0.0,56,5785753,54,13,199.961,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,840,3,18,18,14,0.0,56,5791870,54,17,199.224,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,845,3,35,16,15,0.0,56,5794621,47,18,198.973,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,828,15,9,20,16,0.0,56,5798984,52,16,199.455,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,154,210,8,10,17,0.0,56,5801676,51,8,201.453,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,842,5,10,17,18,0.0,56,5802710,54,15,199.493,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,844,15,16,19,19,0.0,56,5818955,23,19,198.603,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,843,5,28,15,20,0.0,51,\N,50,20,197.468,19.45,24.09,1018.13,0.02,37.02,127.39,1.84
2018,1,131,44,2,1,25.0,51,6224291,35,2,205.012,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,8,6,7,6,2,18.0,51,6226751,50,7,202.874,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,815,10,11,8,3,15.0,51,6228315,51,6,203.480,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,20,6,5,1,4,12.0,51,6229620,38,4,204.783,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,832,4,55,9,5,10.0,51,6231806,50,9,202.242,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,844,15,16,13,6,8.0,51,6233449,31,11,201.212,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,4,1,14,12,7,6.0,51,6235222,32,12,201.126,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,840,3,18,10,8,4.0,51,6236837,50,8,202.319,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,838,1,2,16,9,2.0,51,6238443,50,13,200.720,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,843,5,28,19,10,1.0,51,6242321,51,17,199.567,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,828,15,9,18,11,0.0,51,6242803,51,14,200.239,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,842,5,10,17,12,0.0,51,6249011,38,15,200.035,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,825,210,20,15,13,0.0,51,6264954,35,16,199.813,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,822,131,77,3,14,0.0,48,\N,37,1,205.525,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,154,210,8,20,15,0.0,42,\N,34,10,202.196,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,830,9,33,5,16,0.0,39,\N,31,5,204.316,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,817,9,3,4,17,0.0,39,\N,34,3,204.999,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,807,4,27,14,18,0.0,10,\N,10,18,198.506,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,839,10,31,7,19,0.0,0,\N,\N,0,\N,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,845,3,35,11,20,0.0,0,\N,\N,0,\N,16.66,45.65,1021.91,0.0,25.25,123.79,2.22
2018,1,131,44,1,1,25.0,66,5729972,64,3,211.770,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,822,131,77,2,2,18.0,66,5750565,56,5,210.850,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,830,9,33,5,3,15.0,66,5756845,62,4,210.999,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,20,6,5,3,4,12.0,66,5757556,61,2,211.783,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,817,9,3,6,5,10.0,66,5780030,61,1,213.638,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,825,210,20,7,6,8.0,65,\N,64,6,208.832,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,832,4,55,9,7,6.0,65,\N,61,9,206.064,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,4,1,14,8,8,4.0,65,\N,64,7,207.588,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,815,10,11,15,9,2.0,64,\N,43,8,206.562,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,844,15,16,14,10,1.0,64,\N,51,14,204.062,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,840,3,18,18,11,0.0,64,\N,60,12,204.129,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,843,5,28,20,12,0.0,64,\N,63,10,205.773,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,828,15,9,17,13,0.0,64,\N,50,15,203.159,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,845,3,35,19,14,0.0,63,\N,57,17,202.685,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,838,1,2,11,15,0.0,45,\N,38,16,202.896,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,839,10,31,13,16,0.0,38,\N,36,13,204.074,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,8,6,7,4,17,0.0,25,\N,23,11,205.541,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,154,210,8,10,18,0.0,0,\N,\N,0,\N,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,842,5,10,12,19,0.0,0,\N,\N,0,\N,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,807,4,27,16,20,0.0,0,\N,\N,0,\N,16.05,52.29,1001.54,0.79,32.34,98.7,1.95
2018,817,9,3,1,1,25.0,78,6174807,13,5,158.984,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,20,6,5,2,2,18.0,78,6182143,14,7,157.933,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,1,131,44,3,3,15.0,78,6191820,15,8,157.508,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,8,6,7,4,4,12.0,78,6192934,13,10,157.257,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,822,131,77,5,5,10.0,78,6193629,21,9,157.422,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,839,10,31,6,6,8.0,78,6198474,63,14,155.960,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,842,5,10,10,7,6.0,78,6199138,68,15,155.815,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,807,4,27,11,8,4.0,78,6199646,57,6,157.941,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
2018,830,9,33,20,9,2.0,78,6200124,60,1,161.772,26.64,50.89,1015.21,0.12,34.61,182.5,1.38
